D500,Iron deficiency anemia secondary to blood loss (chronic),BLD001,Nutritional anemia
D501,Sideropenic dysphagia,BLD001,Nutritional anemia
D508,Other iron deficiency anemias,BLD001,Nutritional anemia
D509,"Iron deficiency anemia, unspecified",BLD001,Nutritional anemia
D510,Vitamin B12 deficiency anemia due to intrinsic factor deficiency,BLD001,Nutritional anemia
D511,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria,BLD001,Nutritional anemia
D512,Transcobalamin II deficiency,BLD001,Nutritional anemia
D513,Other dietary vitamin B12 deficiency anemia,BLD001,Nutritional anemia
D518,Other vitamin B12 deficiency anemias,BLD001,Nutritional anemia
D519,"Vitamin B12 deficiency anemia, unspecified",BLD001,Nutritional anemia
D520,Dietary folate deficiency anemia,BLD001,Nutritional anemia
D521,Drug-induced folate deficiency anemia,BLD001,Nutritional anemia
D528,Other folate deficiency anemias,BLD001,Nutritional anemia
D529,"Folate deficiency anemia, unspecified",BLD001,Nutritional anemia
D530,Protein deficiency anemia,BLD001,Nutritional anemia
D531,"Other megaloblastic anemias, not elsewhere classified",BLD001,Nutritional anemia
D532,Scorbutic anemia,BLD001,Nutritional anemia
D538,Other specified nutritional anemias,BLD001,Nutritional anemia
D539,"Nutritional anemia, unspecified",BLD001,Nutritional anemia
D550,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,BLD002,Hemolytic anemia
D551,Anemia due to other disorders of glutathione metabolism,BLD002,Hemolytic anemia
D552,Anemia due to disorders of glycolytic enzymes,BLD002,Hemolytic anemia
D553,Anemia due to disorders of nucleotide metabolism,BLD002,Hemolytic anemia
D558,Other anemias due to enzyme disorders,BLD002,Hemolytic anemia
D559,"Anemia due to enzyme disorder, unspecified",BLD002,Hemolytic anemia
D560,Alpha thalassemia,BLD002,Hemolytic anemia
D561,Beta thalassemia,BLD002,Hemolytic anemia
D562,Delta-beta thalassemia,BLD002,Hemolytic anemia
D563,Thalassemia minor,BLD002,Hemolytic anemia
D564,Hereditary persistence of fetal hemoglobin [HPFH],BLD002,Hemolytic anemia
D565,Hemoglobin E-beta thalassemia,BLD002,Hemolytic anemia
D568,Other thalassemias,BLD002,Hemolytic anemia
D569,"Thalassemia, unspecified",BLD002,Hemolytic anemia
D580,Hereditary spherocytosis,BLD002,Hemolytic anemia
D581,Hereditary elliptocytosis,BLD002,Hemolytic anemia
D582,Other hemoglobinopathies,BLD002,Hemolytic anemia
D588,Other specified hereditary hemolytic anemias,BLD002,Hemolytic anemia
D589,"Hereditary hemolytic anemia, unspecified",BLD002,Hemolytic anemia
D590,Drug-induced autoimmune hemolytic anemia,BLD002,Hemolytic anemia
D591,Other autoimmune hemolytic anemias,BLD002,Hemolytic anemia
D5910,"Autoimmune hemolytic anemia, unspecified",BLD002,Hemolytic anemia
D5911,Warm autoimmune hemolytic anemia,BLD002,Hemolytic anemia
D5912,Cold autoimmune hemolytic anemia,BLD002,Hemolytic anemia
